"COL0","COL1"
"3520",4334.40
"35200002",7063.50
"35200003",7158.10
"35200004",7868.90
"35200005",9209.90
"35200006",9213.30
"35200007",8436.70
"35200009",4592.50
"35200010",7569.10
"35200012",10589.50
"35200013",8082.20
"35200018",2820.70
"35200028",9467.70
"35200029",8552.00
"35200030",5432.70
"35200031",4928.80
"35200032",2985.30
"35200033",4816.00
"35200034",1280.60
"35200035",5924.30
"35200036",6791.00
"35200037",5370.40
"35200039",5080.90
"35200041",4061.20
"35200042",4050.60
"35200043",718.20
"35200044",8297.90
"35200046",8331.50
"35200047",17615.70
"35200048",10524.10
"35200049",10125.20
"35200050",1840.40
"35200051",7001.50
"35200052",2322.40
"35200053",6402.40
"35200054",3321.30
"35200055",4710.10
"35200056",347.50
"35200057",10081.30
"35200058",11363.60
"35200062",5575.40
"35200064",4615.40
"35200065",6710.10
"35200066",5948.30
"35200067",6101.90
"35200068",8926.70
"35200069",5125.70
"35200070",7798.00
"35200071",8273.20
"35200072",3128.20
"35200073",6842.10
"35200074",6713.50
"35200078",4537.30
"35200079",12772.80
"35200080",1973.10
"35200082",6990.10
"35200085",4332.50
"35200086",4566.70
"35200087",3448.50
"35200088",4412.00
"35200089",3776.90
"35200090",4399.10
"35200091",7705.90
"35200092",4284.10
"35200093",4327.70
"35200094",220.80
"35200095",7271.50
"35200096",7821.40
"35200097",8201.20
"35200099",7514.10
"35200100",4466.00
"35200101",6637.10
"35200102",3325.90
"35200103",4929.80
"35200104",5199.00
"35200105",6834.80
"35200106",5110.40
"35200107",5632.80
"35200108",7392.00
"35200109",3093.50
"35200110",7016.10
"35200111",8678.00
"35200112",7384.60
"35200114",6219.80
"35200115",6848.40
"35200116",7388.30
"35200117",8463.00
"35200118",8602.90
"35200119",8412.30
"35200120",6256.10
"35200121",8069.60
"35200123",6456.60
"35200124",5215.30
"35200125",9684.70
"35200126",9920.80
"35200127",8055.00
"35200128",1664.80
"35200133",5613.90
"35200134",5192.90
"35200135",8571.40
"35200136",8408.70
"35200137",7337.30
"35200138",8713.80
"35200139",201.70
"35200140",224.10
"35200141",4246.80
"35200142",6953.70
"35200143",6278.30
"35200144",1199.80
"35200145",12117.10
"35200146",7766.40
"35200147",3576.60
"35200148",3192.20
"35200149",4060.80
"35200150",13123.20
"35200161",8099.30
"35200162",7031.10
"35200163",4091.50
"35200164",2800.50
"35200165",4659.90
"35200166",4077.30
"35200167",4316.30
"35200173",7114.30
"35200174",5719.60
"35200175",3456.40
"35200176",6789.90
"35200177",1280.20
"35200178",5198.90
"35200179",1458.20
"35200180",4595.40
"35200181",6435.10
"35200182",8537.60
"35200183",3749.10
"35200186",7273.80
"35200187",5400.70
"35200188",12543.10
"35200189",4082.20
"35200190",4241.10
"35200193",2644.60
"35200196",1706.40
"35200197",3788.60
"35200198",3485.70
"35200199",4074.10
"35200200",2562.40
"35200201",3978.80
"35200202",2898.30
"35200203",2799.80
"35200204",5441.10
"35200205",4707.50
"35200206",3408.60
"35200207",3269.20
"35200208",3818.80
"35200209",6825.70
"35200210",2998.30
"35200211",7328.80
"35200212",4059.70
"35200213",3077.30
"35200214",3342.10
"35200215",2224.70
"35200216",2447.60
"35200217",2959.80
"35200218",1160.60
"35200219",3220.50
"35200220",1865.90
"35200221",5053.20
"35200222",12270.70
"35200223",3777.00
"35200224",4103.50
"35200232",10308.60
"35200233",3043.50
"35200234",5021.90
"35200235",2536.20
"35200236",4121.30
"35200237",4371.30
"35200238",1368.60
"35200239",3695.90
"35200242",3371.70
"35200243",4188.10
"35200244",4014.00
"35200245",7325.30
"35200246",3616.80
"35200249",5256.40
"35200250",5108.80
"35200251",3009.60
"35200252",3853.00
"35200253",2770.00
"35200254",2913.20
"35200255",2390.40
"35200256",5507.40
"35200260",3002.00
"35200261",5512.70
"35200262",5938.90
"35200263",4185.80
"35200264",6335.00
"35200265",3251.40
"35200266",3834.90
"35200267",8249.80
"35200268",13643.00
"35200269",7636.80
"35200271",17613.60
"35200272",17043.60
"35200273",70492.50
"35200275",3008.90
"35200278",2679.40
"35200279",3676.10
"35200280",15475.00
"35200281",7700.10
"35200284",19783.10
"35200288",3957.60
"35200289",2173.80
"35200290",2964.60
"35200291",3275.20
"35200292",5385.10
"35200293",8269.20
"35200294",2308.40
"35200297",6973.90
"35200298",5157.90
"35200300",25040.70
"35200301",2211.30
"35200302",2975.70
"35200303",5060.70
"35200304",2658.60
"35200305",3804.30
"35200306",3989.90
"35200307",6736.60
"35200308",2335.40
"35200309",3039.70
"35200310",6385.70
"35200313",0.00
"35200315",11305.30
"35200316",34808.10
"35200317",12236.80
"35200318",12611.50
"35200319",8566.50
"35200320",12772.40
"35200321",1903.80
"35200322",3475.80
"35200323",5204.00
"35200324",5775.60
"35200325",10474.60
"35200326",3527.70
"35200327",7243.70
"35200328",2675.50
"35200329",812.70
"35200330",886.70
"35200331",2858.20
"35200332",1360.90
"35200333",2815.00
"35200334",3435.40
"35200335",3263.20
"35200336",3440.00
"35200337",3771.50
"35200338",3426.90
"35200339",9577.90
"35200352",21332.30
"35200355",2934.80
"35200357",3156.60
"35200358",4285.70
"35200359",3833.80
"35200360",3773.40
"35200361",3268.40
"35200362",3606.20
"35200363",2421.50
"35200364",8141.00
"35200366",5899.80
"35200368",4846.80
"35200370",1582.20
"35200371",1662.70
"35200372",2128.00
"35200373",1387.90
"35200374",3942.70
"35200375",9969.50
"35200376",944.40
"35200377",1344.30
"35200378",2463.50
"35200379",2719.30
"35200380",3354.00
"35200381",8940.90
"35200382",8006.90
"35200383",4241.10
"35200384",2502.40
"35200385",3510.60
"35200386",1722.70
"35200387",3219.00
"35200388",3601.50
"35200389",555.80
"35200391",3181.00
"35200392",3951.60
"35200393",1276.50
"35200394",2756.70
"35200395",1925.40
"35200396",3258.90
"35200397",2808.00
"35200400",1324.60
"35200401",2965.70
"35200402",3154.70
"35200404",9003.80
"35200405",2885.70
"35200406",4936.50
"35200407",3144.80
"35200408",3531.40
"35200409",5778.90
"35200410",19750.50
"35200411",8685.10
"35200412",20156.40
"35200413",9222.40
"35200414",10998.10
"35200415",1833.70
"35200416",2736.30
"35200417",3225.10
"35200418",21700.80
"35200420",5300.40
"35200421",4943.30
"35200422",2380.70
"35200423",10786.50
"35200426",5404.80
"35200427",4816.80
"35200428",5575.30
"35200429",10515.90
"35200430",3306.70
"35200431",2925.70
"35200432",3092.70
"35200433",5099.60
"35200434",3326.10
"35200435",3503.00
"35200436",5897.90
"35200437",2902.60
"35200438",2929.00
"35200439",3886.20
"35200440",4995.00
"35200442",8379.30
"35200443",6783.90
"35200444",4957.80
"35200445",1653.70
"35200449",5712.60
"35200450",2590.50
"35200451",4317.30
"35200452",582.80
"35200453",2347.60
"35200454",2667.60
"35200455",3363.60
"35200456",14347.10
"35200459",3126.80
"35200460",15129.70
"35200463",9367.50
"35200464",6222.90
"35200465",4944.10
"35200466",4124.40
"35200467",4372.90
"35200468",686.00
"35200469",3834.00
"35200470",4563.50
"35200471",29044.60
"35200472",6162.80
"35200475",2288.20
"35200478",4808.40
"35200479",5028.10
"35200480",4347.80
"35200481",5332.40
"35200482",5974.80
"35200483",4460.90
"35200484",21310.50
"35200488",5120.30
"35200489",9623.70
"35200490",4710.60
"35200491",3618.30
"35200492",4676.60
"35200493",4231.80
"35200494",5170.50
"35200495",2869.10
"35200497",28818.20
"35200498",4160.60
"35200499",8895.20
"35200505",8824.70
"35200506",5329.70
"35200510",7495.60
"35200511",7158.40
"35200512",6782.80
"35200513",6988.20
"35200514",7580.10
"35200515",4423.80
"35200516",7458.50
"35200517",6983.90
"35200518",9252.30
"35200519",7044.70
"35200520",6615.00
"35200521",6542.40
"35200522",6450.50
"35200523",3644.40
"35200524",4416.40
"35200525",2447.90
"35200529",2822.30
"35200531",4126.50
"35200532",3944.30
"35200533",3611.50
"35200534",3211.00
"35200535",6470.60
"35200536",7028.20
"35200538",8573.10
"35200539",21921.40
"35200540",32631.60
"35200541",7061.60
"35200542",29017.30
"35200545",1992.20
"35200561",1109.20
"35200562",5524.90
"35200563",4181.20
"35200564",5916.90
"35200565",4587.30
"35200566",6011.40
"35200567",5995.90
"35200568",6752.70
"35200569",8955.20
"35200570",9594.30
"35200571",9142.90
"35200572",10195.00
"35200573",8288.90
"35200574",6908.50
"35200575",3200.50
"35200576",5601.80
"35200577",9022.40
"35200578",8731.70
"35200579",8700.80
"35200580",9650.50
"35200581",8865.20
"35200582",8995.50
"35200583",10485.60
"35200584",8097.60
"35200585",11169.20
"35200586",10421.20
"35200587",10665.70
"35200588",7816.70
